mask_case,planner,runtime_ms_mean,runtime_ms_p10,runtime_ms_p90,has_path_mean,has_path_p10,has_path_p90,inside_gt_ratio_mean,inside_gt_ratio_p10,inside_gt_ratio_p90,mean_gt_clearance_px_mean,mean_gt_clearance_px_p10,mean_gt_clearance_px_p90,mean_center_error_px_mean,mean_center_error_px_p10,mean_center_error_px_p90,forward_span_px_mean,forward_span_px_p10,forward_span_px_p90,heading_deg_mean,heading_deg_p10,heading_deg_p90,path_points_mean,path_points_p10,path_points_p90,count
baseline_raw,bev_dt_full,954.082131245741,165.65246999962255,1765.4317199951038,1.0,1.0,1.0,0.9232253087684512,0.7000000178813934,1.0,132.2028705200646,91.25544357299805,173.46532135009767,108.9139660966081,23.78333333333333,289.71172839506187,350.65625,261.4,409.0,-23.547265335681175,-47.63092635507954,-8.131202461765547,70.21875,35.2,81.0,32
baseline_raw,bev_dt_nearfield,1610.9453843719166,167.81908998964354,3140.7983099983544,1.0,1.0,1.0,0.9515580078586936,1.0,1.0,130.30565172131173,97.008349609375,162.65386810302735,107.04276665960259,23.937671232876713,209.14680365296803,353.34375,261.4,395.0,-21.774904297214764,-41.5720061483882,-11.040940180323732,66.40625,35.2,80.9,32
baseline_raw,bev_graph,895.4287874994407,27.358639996964484,1821.9403000170134,1.0,1.0,1.0,0.9162833309965208,0.7144787788391114,1.0,124.29217305325437,78.80199890136718,176.29085083007814,110.29525773128312,26.184771241830067,294.54465012958184,344.28125,190.5,436.90000000000003,-26.38655030432485,-60.667138439503205,-7.733580404622861,75.09375,22.8,101.10000000000002,32
baseline_raw,img_dt,114.77109062525415,37.76804997760337,193.94426998624112,0.96875,1.0,1.0,0.9252669587731361,0.8599152743816376,1.0,159.09478068351746,107.20311279296875,206.80644989013672,105.25983578192009,11.044993894993896,237.20769230769258,391.46875,257.0,468.3,2.5656446933592245,-32.02870428233385,31.679852382748113,52.6875,35.0,62.900000000000006,32
baseline_raw,img_midpoint,2.181637496505573,1.8493200012017041,2.5831000006292015,0.96875,1.0,1.0,0.932070049806498,0.9657396912574768,1.0,158.2129357488593,104.90960922241212,208.8781295776367,82.9904415450291,6.21078947368421,169.39336870026543,384.125,243.5,454.0,-5.436861773620415,-28.71272037195217,16.143670482452432,26.34375,17.1,31.0,32
candidate_confhold,bev_dt_full,926.8270718730491,219.47941002144944,1484.4084300042598,1.0,1.0,1.0,0.9857478477060795,0.9342941403388977,1.0,129.7907977104187,86.6578987121582,167.58588104248048,65.02305976151278,21.279012345679014,122.65996472663142,377.21875,323.2,409.0,-25.408391079724495,-43.11788210583404,-10.974382696753661,75.6875,61.2,81.0,32
candidate_confhold,bev_dt_nearfield,1602.9658406241651,225.87174999935087,3093.0678999895463,1.0,1.0,1.0,0.9857478477060795,0.9342941403388977,1.0,123.71640181541443,86.6578987121582,161.4059814453125,78.96146522243959,24.35518349399628,181.1691358024692,372.96875,323.2,394.9,-22.792167677551202,-42.288016532555055,-11.040940180323732,71.71875,61.2,81.0,32
candidate_confhold,bev_graph,380.25259687583457,57.60334999940824,1062.4271099979526,1.0,1.0,1.0,0.9706118982285261,0.9191872358322144,1.0,110.52850127220154,73.92341232299805,144.86346588134765,76.55742325448884,23.458700072621642,154.71505609382973,384.875,305.0,444.9,-24.11138750195206,-52.252286504053544,-8.994320094750446,89.71875,49.300000000000004,157.40000000000003,32
candidate_confhold,img_dt,108.05215625259734,46.857749987975694,164.1975599923171,1.0,1.0,1.0,0.9941853117197752,0.9692546606063843,1.0,166.47329354286194,112.3808219909668,205.7581970214844,60.36001208943211,9.783410138248849,110.95233333333336,432.15625,333.8,498.40000000000003,1.844895883919314,-20.915526046860293,19.89084103354098,58.09375,45.1,66.80000000000001,32
candidate_confhold,img_midpoint,2.185040625590773,1.892989981570281,2.450300008058548,1.0,1.0,1.0,0.984513521194458,0.9362212002277375,1.0,155.47486889362335,103.98460235595704,200.7040802001953,14.314917889358263,4.432931034482759,27.556719367588933,421.46875,319.5,484.0,-8.554989735206497,-38.694233162483954,17.10526468667255,28.84375,22.1,33.0,32
oracle_gt,bev_dt_full,894.65752187607,255.7072500087088,1530.566369989538,1.0,1.0,1.0,0.9803127851337194,0.9301754653453826,1.0,132.60138821601868,89.53047103881836,167.26237487792972,69.19024526748797,21.256172839506174,166.25396825396837,374.4375,314.8,409.0,-27.46136291650805,-52.94669837655641,-10.974382696753661,75.71875,57.6,81.0,32
oracle_gt,bev_dt_nearfield,1508.6927781203485,301.02525999827776,2995.3631499869516,1.0,1.0,1.0,0.9803127851337194,0.9301754653453826,1.0,123.62510824203491,89.53047103881836,161.4059814453125,79.72680955007876,24.332482876712326,190.93071199052937,372.4375,314.8,395.0,-22.569666662896978,-45.24621392861476,-11.040940180323732,71.75,57.6,81.0,32
oracle_gt,bev_graph,542.7165093733493,44.34348998765927,1284.9030899989884,1.0,1.0,1.0,0.9479433335363865,0.8052669644355774,1.0,119.47010964155197,57.94045181274414,158.16143493652345,73.59089818159194,20.45705882352941,140.68834971334977,376.21875,308.6,414.0,-24.78263967235499,-54.13936788500194,-8.42824889490877,84.1875,49.7,99.9,32
oracle_gt,img_dt,109.00406562177523,47.48531999648549,175.22209999733607,1.0,1.0,1.0,0.9890196826308966,0.9677931129932403,1.0,164.56196284294128,109.41722183227539,200.31943054199218,62.47515658956291,9.660368663594472,121.87049180327871,435.40625,326.6,504.70000000000005,2.458880661663364,-13.79854838648613,19.757012634799942,58.53125,44.2,67.7,32
oracle_gt,img_midpoint,2.392921877799381,2.1161200013011694,2.667459996882826,1.0,1.0,1.0,0.9841017294675112,0.9354838728904724,1.0,154.04954767227173,94.01504364013672,200.72689361572267,15.239286530185616,3.8570993914807303,30.25625000000001,422.90625,319.5,496.9000000000001,-9.191915326572493,-37.00110280280112,17.82489342161308,28.9375,22.1,33.800000000000004,32
