case,video,frame,key,infer_ms,stability_iou_prev,iou,precision,recall,f1,pred_pixels,gt_pixels
baseline_raw,VID_20260319_155939_00_017,frame_000000,VID_20260319_155939_00_017/frame_000000,218.6615999962669,1.0,0.9320192158957892,0.9423907798625631,0.9883294827140933,0.964813608713156,901505.0,859602.0
baseline_raw,VID_20260319_155939_00_017,frame_000032,VID_20260319_155939_00_017/frame_000032,14.49150001280941,0.9572457161993712,0.9584398376962883,0.9673196939885781,0.990512949587128,0.9787789435734728,886895.0,866128.0
baseline_raw,VID_20260319_155939_00_017,frame_000064,VID_20260319_155939_00_017/frame_000064,11.8734999850858,0.9626750270317262,0.933348609985982,0.9438428264946888,0.9882276422023365,0.9655254155046041,919188.0,877904.0
baseline_raw,VID_20260319_155939_00_017,frame_000096,VID_20260319_155939_00_017/frame_000096,11.805700021795928,0.9948333932124246,0.9279228820956943,0.9395974980787108,0.9867866741814266,0.9626141073516612,918654.0,874723.0
baseline_raw,VID_20260319_155939_00_017,frame_000128,VID_20260319_155939_00_017/frame_000128,14.475500007392839,0.9955120154794113,0.9328383137006435,0.9461179998644835,0.9851765195888208,0.9652522997794019,915018.0,878741.0
baseline_raw,VID_20260319_155939_00_017,frame_000160,VID_20260319_155939_00_017/frame_000160,19.821399997454137,0.9983931358957285,0.9348706658022453,0.9464762736853601,0.9870536487139069,0.9663391794868363,915650.0,878008.0
baseline_raw,VID_20260319_155939_00_017,frame_000192,VID_20260319_155939_00_017/frame_000192,13.729600002989173,0.9951920881968646,0.9360320624056474,0.9470978277059091,0.9876715512598849,0.9669592571133,919811.0,882025.0
baseline_raw,VID_20260319_155939_00_017,frame_000224,VID_20260319_155939_00_017/frame_000224,11.708899983204901,0.9930070385818561,0.9259787777031565,0.9417593502296644,0.9822256771374154,0.9615669584972695,915031.0,877333.0
baseline_raw,VID_20260319_155939_00_017,frame_000256,VID_20260319_155939_00_017/frame_000256,11.81719999294728,0.9954265088218603,0.9294701759355832,0.9446011140627522,0.9830581377797399,0.9634460148987702,917004.0,881131.0
baseline_raw,VID_20260319_155939_00_017,frame_000288,VID_20260319_155939_00_017/frame_000288,14.460799982771277,0.9880455740199554,0.9361114972147081,0.9491079859029576,0.9855829629729693,0.9670016407230668,922463.0,888324.0
baseline_raw,VID_20260319_155939_00_017,frame_000320,VID_20260319_155939_00_017/frame_000320,11.745299998437986,0.9870303294408501,0.9414521946152407,0.951968336984946,0.9884023644590555,0.96984329279539,919685.0,885784.0
baseline_raw,VID_20260319_155939_00_017,frame_000352,VID_20260319_155939_00_017/frame_000352,11.70470000943169,0.9671679927550294,0.9467983621553339,0.9607532858459438,0.9848906389476689,0.97267224029007,904942.0,882764.0
baseline_raw,VID_20260319_155939_00_017,frame_000384,VID_20260319_155939_00_017/frame_000384,11.651699984213337,0.9522902825625575,0.9285030809369884,0.9448698213564841,0.981686155037402,0.9629262095716882,901684.0,867868.0
baseline_raw,VID_20260319_155939_00_017,frame_000416,VID_20260319_155939_00_017/frame_000416,11.656100017717108,0.8746164094726355,0.944779066872178,0.9637302183055867,0.979610650918498,0.9716055494074014,972490.0,956725.0
baseline_raw,VID_20260319_155939_00_017,frame_000448,VID_20260319_155939_00_017/frame_000448,11.85119998990558,0.8531225794544796,0.9827785420068352,0.9932534286701712,0.9893830914083954,0.9913144823648664,1015627.0,1019600.0
baseline_raw,VID_20260319_155939_00_017,frame_000480,VID_20260319_155939_00_017/frame_000480,11.768099997425452,0.8513638227554006,0.9839086230701645,0.9842219586778086,0.9996765393653911,0.9918890533854661,876091.0,862547.0
baseline_raw,VID_20260319_155939_00_017,frame_000512,VID_20260319_155939_00_017/frame_000512,14.539499999955297,0.8804871729560195,0.965293804679875,0.9737038831673339,0.9911316065250345,0.9823404545226366,844079.0,829237.0
baseline_raw,VID_20260319_155939_00_017,frame_000544,VID_20260319_155939_00_017/frame_000544,14.51670000096783,0.8693918948418362,0.9551097278787314,0.9561622005843909,0.9988488662597641,0.9770395126773913,825817.0,790525.0
baseline_raw,VID_20260319_155939_00_017,frame_000576,VID_20260319_155939_00_017/frame_000576,14.529900014167652,0.8621204641957703,0.9730967086955781,0.9945049476620214,0.9783571029065662,0.9863649403570249,803814.0,817081.0
baseline_raw,VID_20260319_155939_00_017,frame_000608,VID_20260319_155939_00_017/frame_000608,14.468300010776147,0.7009964388804664,0.7479428671211543,0.75458968548801,0.9883600873552664,0.8557978423551215,1112549.0,849405.0
baseline_raw,VID_20260319_155939_00_017,frame_000640,VID_20260319_155939_00_017/frame_000640,14.640499983215705,0.7889791229385624,0.8100587853615513,0.8308339103276166,0.9700560075839968,0.895063510547527,1003765.0,859705.0
baseline_raw,VID_20260319_155939_00_017,frame_000672,VID_20260319_155939_00_017/frame_000672,14.506600011372939,0.8354875115030397,0.9359888318019018,0.9597620453772112,0.9742183933144094,0.9669361893278483,1022716.0,1007540.0
baseline_raw,VID_20260319_155939_00_017,frame_000704,VID_20260319_155939_00_017/frame_000704,19.905699999071658,0.8092072960046555,0.9212268889176206,0.9578620371576834,0.9601377391621628,0.958998538102515,967014.0,964722.0
baseline_raw,VID_20260319_155939_00_017,frame_000736,VID_20260319_155939_00_017/frame_000736,11.933200003113598,0.8067118278024537,0.8987591658874637,0.8993113806297963,0.9993172558909997,0.9466805290889974,893527.0,804108.0
baseline_raw,VID_20260319_155939_00_017,frame_000768,VID_20260319_155939_00_017/frame_000768,12.908300006529316,0.7377001141306024,0.9192306920107814,0.9197107875878209,0.9994324483985085,0.9579157897352109,796508.0,732973.0
baseline_raw,VID_20260319_155939_00_017,frame_000800,VID_20260319_155939_00_017/frame_000800,14.445799984969199,0.9501651302554975,0.9463823541789411,0.9475574797778893,0.9986912902102124,0.972452665476575,759441.0,720557.0
baseline_raw,VID_20260319_155939_00_017,frame_000832,VID_20260319_155939_00_017/frame_000832,14.502900012303144,0.9794028878344382,0.940700555091875,0.9422696938451882,0.9982328777522542,0.9694443098124854,753573.0,711326.0
baseline_raw,VID_20260319_155939_00_017,frame_000864,VID_20260319_155939_00_017/frame_000864,19.66660001198761,0.9506268168604651,0.9122986361459148,0.9133266956654514,0.9987676911527676,0.9541382490180298,792447.0,724656.0
baseline_raw,VID_20260319_155939_00_017,frame_000896,VID_20260319_155939_00_017/frame_000896,14.454799995291978,0.9570800553884586,0.9217115306659307,0.9248155158324443,0.996371802351136,0.9592610711416506,808877.0,750786.0
baseline_raw,VID_20260319_155939_00_017,frame_000928,VID_20260319_155939_00_017/frame_000928,11.878999997861683,0.9651902720248045,0.9617398821352787,0.965282130313063,0.9961988663819727,0.980496844554602,813702.0,788449.0
baseline_raw,VID_20260319_155939_00_017,frame_000960,VID_20260319_155939_00_017/frame_000960,11.764599999878556,0.8372990782780544,0.9405609534997934,0.943961324335357,0.9961847322839247,0.9693701728909836,921096.0,872809.0
baseline_raw,VID_20260319_155939_00_017,frame_000992,VID_20260319_155939_00_017/frame_000992,11.8705999921076,0.8769795139951846,0.954795649574169,0.9915682345319733,0.9626111579983251,0.9768751529421102,893763.0,920649.0
baseline_raw,VID_20260319_155939_00_017,frame_001024,VID_20260319_155939_00_017/frame_001024,12.137900019297376,0.9527521250713196,0.9678580620767726,0.9937976156369314,0.9737399314825211,0.9836665364526817,855155.0,872770.0
baseline_raw,VID_20260319_155939_00_017,frame_001056,VID_20260319_155939_00_017/frame_001056,14.486800006125122,0.8879256509789477,0.9682970247712849,0.973658076828656,0.9943457840311234,0.9838931955747894,810609.0,793744.0
baseline_raw,VID_20260319_155939_00_017,frame_001088,VID_20260319_155939_00_017/frame_001088,11.908599990420043,0.8549386097230064,0.9709079927521643,0.9774030409555332,0.9932022014569694,0.9852392869911641,730231.0,718615.0
baseline_raw,VID_20260319_155939_00_017,frame_001120,VID_20260319_155939_00_017/frame_001120,14.502299978630617,0.930874176364391,0.9769415146706337,0.9912562479352605,0.9854334713755898,0.9883362835176194,744646.0,749046.0
baseline_raw,VID_20260319_155939_00_017,frame_001152,VID_20260319_155939_00_017/frame_001152,19.643400009954348,0.8419158635014624,0.8537697203704262,0.8843715199532056,0.9610491388244115,0.9211173437441013,800097.0,736261.0
baseline_raw,VID_20260319_155939_00_017,frame_001184,VID_20260319_155939_00_017/frame_001184,19.75870001479052,0.8665819320411494,0.9110599721389834,0.9298387057840946,0.9783134855630646,0.9534603679854854,828548.0,787494.0
baseline_raw,VID_20260319_155939_00_017,frame_001216,VID_20260319_155939_00_017/frame_001216,19.736699992790818,0.7919424442222757,0.9507368448644758,0.9998460870504077,0.9508760086470285,0.9747463860821542,870622.0,915459.0
baseline_raw,VID_20260319_155939_00_017,frame_001248,VID_20260319_155939_00_017/frame_001248,11.836300021968782,0.7561880804653793,0.9879142180825342,0.9920946185939745,0.9957528546648363,0.9939203705031482,943155.0,939690.0
baseline_raw,VID_20260319_155939_00_017,frame_001280,VID_20260319_155939_00_017/frame_001280,14.514900016365573,0.6942206362323728,0.9109835679555166,0.9194653539104717,0.9899754286518081,0.9534185256549754,719504.0,668258.0
baseline_raw,VID_20260319_155939_00_017,frame_001312,VID_20260319_155939_00_017/frame_001312,14.557799993781373,0.9022130418753931,0.9400207787152687,0.9603999625711295,0.9779248988026029,0.9690832067662434,683964.0,671707.0
baseline_raw,VID_20260319_155939_00_017,frame_001344,VID_20260319_155939_00_017/frame_001344,14.35519999358803,0.936617841719117,0.9879856963854833,0.9909499907387422,0.9969813970895124,0.9939565442365301,653259.0,649307.0
baseline_raw,VID_20260319_155939_00_017,frame_001376,VID_20260319_155939_00_017/frame_001376,14.446400018641725,0.8804313087746588,0.9424062600165264,0.9474743084873641,0.9943561285958736,0.9703492821409133,676488.0,644593.0
baseline_raw,VID_20260319_155939_00_017,frame_001408,VID_20260319_155939_00_017/frame_001408,11.811099975602701,0.8507614278625241,0.8925773406927395,0.8956355936667123,0.9961890087614718,0.9432400161422516,759416.0,682762.0
baseline_raw,VID_20260319_155939_00_017,frame_001440,VID_20260319_155939_00_017/frame_001440,11.723399977199733,0.8246023116077204,0.8694519350811486,0.8729852912788089,0.9953664068786419,0.9301677339389929,797758.0,699673.0
baseline_raw,VID_20260319_155939_00_017,frame_001472,VID_20260319_155939_00_017/frame_001472,11.820699990494177,0.8012964282056564,0.9646022960044147,0.9724000552389737,0.9917551827412922,0.9819822545929134,767574.0,752594.0
baseline_raw,VID_20260319_155939_00_017,frame_001504,VID_20260319_155939_00_017/frame_001504,19.730200001504272,0.8096183178260463,0.9671322779162327,0.9954126482107376,0.9714621058094743,0.9832915546896603,819863.0,840076.0
baseline_raw,VID_20260319_155939_00_017,frame_001536,VID_20260319_155939_00_017/frame_001536,19.684300001244992,0.8018905815187767,0.9880568248606117,0.9938771271071343,0.9941079763935489,0.9939925383469732,938775.0,938557.0
baseline_raw,VID_20260319_155939_00_017,frame_001568,VID_20260319_155939_00_017/frame_001568,14.50049999402836,0.6867401607771736,0.9903293981159093,0.993657439314922,0.9966294091872753,0.995141205323478,737084.0,734886.0
baseline_raw,VID_20260319_155939_00_017,frame_001600,VID_20260319_155939_00_017/frame_001600,14.446099987253547,0.8460215345366158,0.99068825085156,0.9936133651551312,0.9970372174750798,0.995322346859456,733250.0,730732.0
baseline_raw,VID_20260319_155939_00_017,frame_001632,VID_20260319_155939_00_017/frame_001632,11.946600017836317,0.9308423710222811,0.9826674700689004,0.9946250672860965,0.9879136016097639,0.9912579743236029,754242.0,759366.0
baseline_raw,VID_20260319_155939_00_017,frame_001664,VID_20260319_155939_00_017/frame_001664,12.01439998112619,0.7806353577208458,0.9733533951919984,0.9835317849115325,0.9894797265563847,0.9864967902490629,867550.0,862335.0
baseline_raw,VID_20260319_155939_00_017,frame_001696,VID_20260319_155939_00_017/frame_001696,15.56580001488328,0.8426244763980819,0.9528908002620555,0.9556631549605649,0.9969648464832852,0.9758771971624717,803598.0,770307.0
baseline_raw,VID_20260319_155939_00_017,frame_001728,VID_20260319_155939_00_017/frame_001728,14.514200011035427,0.8361246680969017,0.8341294099477912,0.83775580459815,0.9948373076082131,0.9095644019704529,896143.0,754645.0
baseline_raw,VID_20260319_155939_00_017,frame_001760,VID_20260319_155939_00_017/frame_001760,11.825299996417016,0.829317062131526,0.9377587009013943,0.9497016837969366,0.9867672764752001,0.9678797473237237,825634.0,794621.0
baseline_raw,VID_20260319_155939_00_017,frame_001792,VID_20260319_155939_00_017/frame_001792,11.778599990066141,0.7862158287527551,0.840638404848043,0.8597669537677832,0.9742161725963022,0.9134204769756973,954832.0,842660.0
