mask_case,planner,video,frame,key,runtime_ms,planner_path_source,has_path,inside_gt_ratio,mean_gt_clearance_px,mean_center_error_px,forward_span_px,heading_deg,path_points
candidate_confhold,img_dt,IMG_1878,frame_000364,IMG_1878/frame_000364,59.116899996297434,img_dt,1.0,0.9607843160629272,139.72964477539062,52.5,378.0,6.048506661000621,51.0
candidate_confhold,img_midpoint,IMG_1878,frame_000364,IMG_1878/frame_000364,1.9603999971877784,img_midpoint,1.0,1.0,129.06732177734375,4.615384615384615,378.0,-19.677857521204608,26.0
oracle_gt,bev_dt_full,IMG_1878,frame_000728,IMG_1878/frame_000728,396.5147999988403,dt_ridge,1.0,1.0,98.87721252441406,28.9375,368.0,-21.662790935406402,64.0
oracle_gt,bev_dt_nearfield,IMG_1878,frame_000728,IMG_1878/frame_000728,427.0554999820888,dt_ridge,1.0,1.0,98.87721252441406,28.9375,368.0,-21.662790935406402,64.0
oracle_gt,bev_graph,IMG_1878,frame_000728,IMG_1878/frame_000728,469.09149998100474,endpoint_arc,1.0,1.0,106.96782684326172,49.42857142857143,281.0,-25.21716389687939,49.0
oracle_gt,img_dt,IMG_1878,frame_000728,IMG_1878/frame_000728,62.38479999592528,img_dt,1.0,0.9795918464660645,138.8396453857422,31.73469387755102,363.0,10.619655276155134,49.0
oracle_gt,img_midpoint,IMG_1878,frame_000728,IMG_1878/frame_000728,2.667499997187406,img_midpoint,1.0,1.0,131.3574676513672,17.5625,348.0,-12.43956201884655,24.0
baseline_raw,bev_dt_full,IMG_1878,frame_000728,IMG_1878/frame_000728,167.44410002138466,dt_ridge,1.0,1.0,125.30828857421875,96.33870967741936,194.0,-7.815293546766876,31.0
baseline_raw,bev_dt_nearfield,IMG_1878,frame_000728,IMG_1878/frame_000728,165.289099997608,dt_ridge,1.0,1.0,125.30828857421875,96.33870967741936,194.0,-7.815293546766876,31.0
baseline_raw,bev_graph,IMG_1878,frame_000728,IMG_1878/frame_000728,26.640099997166544,fallback_skeleton,1.0,1.0,192.4808349609375,51.0,115.0,-34.824489156956794,14.0
baseline_raw,img_dt,IMG_1878,frame_000728,IMG_1878/frame_000728,37.0946999755688,img_dt,1.0,1.0,179.46841430664062,71.36538461538461,189.0,0.0,26.0
baseline_raw,img_midpoint,IMG_1878,frame_000728,IMG_1878/frame_000728,1.6743000014685094,img_midpoint,1.0,1.0,179.3584747314453,21.23076923076923,182.0,-8.972626614896393,13.0
candidate_confhold,bev_dt_full,IMG_1878,frame_000728,IMG_1878/frame_000728,422.5574999873061,dt_ridge,1.0,1.0,99.25984191894531,27.1328125,368.0,-22.90576965841719,64.0
candidate_confhold,bev_dt_nearfield,IMG_1878,frame_000728,IMG_1878/frame_000728,426.7503999872133,dt_ridge,1.0,1.0,99.25984191894531,27.1328125,368.0,-22.90576965841719,64.0
candidate_confhold,bev_graph,IMG_1878,frame_000728,IMG_1878/frame_000728,477.26369998417795,dt_corridor,1.0,1.0,98.88494110107422,26.359375,368.0,-22.809711103877454,64.0
candidate_confhold,img_dt,IMG_1878,frame_000728,IMG_1878/frame_000728,55.39020002470352,img_dt,1.0,1.0,138.6484375,32.55102040816327,363.0,10.619655276155134,49.0
candidate_confhold,img_midpoint,IMG_1878,frame_000728,IMG_1878/frame_000728,1.9841000030282885,img_midpoint,1.0,1.0,132.03273010253906,17.104166666666668,348.0,-12.037202320365747,24.0
oracle_gt,bev_dt_full,IMG_1878,frame_001104,IMG_1878/frame_001104,447.7156999928411,dt_ridge,1.0,0.9298245906829834,93.12722778320312,63.324561403508774,322.0,-11.529035725354277,57.0
oracle_gt,bev_dt_nearfield,IMG_1878,frame_001104,IMG_1878/frame_001104,447.60970000061207,dt_ridge,1.0,0.9298245906829834,93.12722778320312,63.324561403508774,322.0,-11.529035725354277,57.0
oracle_gt,bev_graph,IMG_1878,frame_001104,IMG_1878/frame_001104,475.551399984397,dt_corridor,1.0,0.8928571343421936,93.61817169189453,64.4375,322.0,-11.529035725354277,56.0
oracle_gt,img_dt,IMG_1878,frame_001104,IMG_1878/frame_001104,93.5835000127554,img_dt,1.0,1.0,107.5511703491211,95.72093023255815,318.0,4.873896422204769,43.0
oracle_gt,img_midpoint,IMG_1878,frame_001104,IMG_1878/frame_001104,2.110100002028048,img_midpoint,1.0,1.0,112.74651336669922,38.73809523809524,303.0,58.95247776808495,21.0
baseline_raw,bev_dt_full,IMG_1878,frame_001104,IMG_1878/frame_001104,182.7206999878399,dt_ridge,1.0,1.0,136.0752716064453,124.72115384615384,192.0,43.06941255883301,52.0
baseline_raw,bev_dt_nearfield,IMG_1878,frame_001104,IMG_1878/frame_001104,180.00409999513067,dt_ridge,1.0,1.0,136.0752716064453,124.72115384615384,192.0,43.06941255883301,52.0
baseline_raw,bev_graph,IMG_1878,frame_001104,IMG_1878/frame_001104,25.418000004719943,fallback_skeleton,1.0,1.0,236.3716278076172,127.5,95.0,-61.69924423399363,12.0
baseline_raw,img_dt,IMG_1878,frame_001104,IMG_1878/frame_001104,46.998700010590255,img_dt,1.0,1.0,106.76351165771484,249.98076923076923,189.0,78.86144023381637,26.0
baseline_raw,img_midpoint,IMG_1878,frame_001104,IMG_1878/frame_001104,2.3138000105973333,img_midpoint,1.0,1.0,137.32667541503906,178.57692307692307,182.0,-11.888658039627975,13.0
candidate_confhold,bev_dt_full,IMG_1878,frame_001104,IMG_1878/frame_001104,482.5503999891225,dt_ridge,1.0,0.9180327653884888,85.93036651611328,61.15573770491803,341.0,-15.20803919063533,61.0
candidate_confhold,bev_dt_nearfield,IMG_1878,frame_001104,IMG_1878/frame_001104,482.3809999797959,dt_ridge,1.0,0.9180327653884888,85.93036651611328,61.15573770491803,341.0,-15.20803919063533,61.0
candidate_confhold,bev_graph,IMG_1878,frame_001104,IMG_1878/frame_001104,529.4289000157733,dt_corridor,1.0,0.9180327653884888,85.6114730834961,60.28688524590164,341.0,-15.466714793050297,61.0
candidate_confhold,img_dt,IMG_1878,frame_001104,IMG_1878/frame_001104,91.35140001308173,img_dt,1.0,0.9555555582046509,104.98357391357422,89.57777777777778,333.0,6.7098368077569335,45.0
candidate_confhold,img_midpoint,IMG_1878,frame_001104,IMG_1878/frame_001104,2.3179999843705446,img_midpoint,1.0,0.9090909361839294,103.9799575805664,30.40909090909091,318.0,56.954482802493075,22.0
oracle_gt,bev_dt_full,IMG_1878,frame_001456,IMG_1878/frame_001456,189.1386000206694,dt_ridge,1.0,1.0,66.53671264648438,53.287234042553195,297.0,-50.624628041445916,47.0
