mask_case,planner,video,runtime_ms_mean,runtime_ms_p10,runtime_ms_p90,has_path_mean,has_path_p10,has_path_p90,inside_gt_ratio_mean,inside_gt_ratio_p10,inside_gt_ratio_p90,mean_gt_clearance_px_mean,mean_gt_clearance_px_p10,mean_gt_clearance_px_p90,mean_center_error_px_mean,mean_center_error_px_p10,mean_center_error_px_p90,forward_span_px_mean,forward_span_px_p10,forward_span_px_p90,heading_deg_mean,heading_deg_p10,heading_deg_p90,path_points_mean,path_points_p10,path_points_p90,count
baseline_raw,bev_dt_full,IMG_1878,323.3137374954822,122.81373998848721,648.3627799840176,1.0,1.0,1.0,1.0,1.0,1.0,130.91225147247314,94.71400833129883,170.45796966552732,84.56141577115051,16.57859801488834,152.87332621082618,253.375,182.7,323.7,-24.409032082535184,-59.35739982923718,7.45011828491308,44.5,28.3,67.7,8
baseline_raw,bev_dt_full,IMG_1921,1310.331987493555,1072.9485900053987,1518.9303799910704,1.0,1.0,1.0,1.0,1.0,1.0,149.14508152008057,124.08676223754883,168.8549362182617,53.91898148148148,25.595061728395063,82.64629629629628,396.625,386.5,408.0,-24.42916570219231,-42.288016532555055,-9.761474927222313,81.0,81.0,81.0,8
baseline_raw,bev_dt_full,IMG_1922,1207.3757874968578,443.30229998158757,2028.1955300044501,1.0,1.0,1.0,0.8533950597047806,0.45555554628372197,1.0,128.8954119682312,89.21870079040528,163.8585266113281,134.9648189856523,39.04753086419753,319.1376543209876,359.625,297.2,408.3,-41.353636532720714,-84.19609054016861,-14.29812088171272,74.375,61.5,81.0,8
baseline_raw,bev_dt_full,IMG_1924,975.3070124970691,234.9177299940493,1902.4186199938413,1.0,1.0,1.0,0.8395061753690243,0.48148149549961095,1.0,119.85873711947352,53.66255752667785,165.0694152832031,162.21064814814815,34.099382716049384,392.49197530864194,393.0,368.0,409.0,-3.9972270252764908,-25.198462309511907,17.67108546197853,81.0,81.0,81.0,8
baseline_raw,bev_dt_nearfield,IMG_1878,329.0622999993502,125.26829001144506,672.6418600010218,1.0,1.0,1.0,1.0,1.0,1.0,130.91225147247314,94.71400833129883,170.45796966552732,84.56141577115051,16.57859801488834,152.87332621082618,253.375,182.7,323.7,-24.409032082535184,-59.35739982923718,7.45011828491308,44.5,28.3,67.7,8
baseline_raw,bev_dt_nearfield,IMG_1921,1785.2546374961094,1394.9597700091545,2172.4530200037407,1.0,1.0,1.0,1.0,1.0,1.0,137.7594175338745,114.72050476074219,164.42340240478515,68.72133336492982,25.947260273972603,109.73895569620252,393.875,392.4,395.3,-19.214866973590883,-31.925970217618996,-10.723206912546562,75.875,73.0,79.3,8
baseline_raw,bev_dt_nearfield,IMG_1922,1673.8829124988115,457.42458998574875,3070.1594700018177,1.0,1.0,1.0,0.9243827164173126,0.8185185194015503,1.0,124.23334646224976,100.18586540222168,150.10047607421876,114.25034566530002,40.256531531531536,251.40370370370368,372.625,332.9,394.6,-30.792538196123736,-53.51719354410876,-14.318088126783742,71.625,61.5,81.0,8
baseline_raw,bev_dt_nearfield,IMG_1924,2655.5816874933953,1018.7622599885799,4851.629900000989,1.0,1.0,1.0,0.8818493150174618,0.7164383560419083,1.0,128.31759141664952,71.48790757134557,163.95315704345703,160.63797183703005,45.55541718555418,317.14863013698624,393.5,393.0,394.6,-12.683179936609257,-15.981919444067884,-11.040940180323732,73.625,73.0,74.9,8
baseline_raw,bev_graph,IMG_1878,271.16846249919035,24.049399999785237,685.676109997439,1.0,1.0,1.0,1.0,1.0,1.0,147.10048627853394,83.05880851745606,245.0641891479492,81.05036956377683,16.24181141439206,155.6716216216216,224.75,109.0,306.9,-38.29535951264609,-69.0586709173505,-17.347440689435707,35.25,13.4,65.6,8
baseline_raw,bev_graph,IMG_1921,538.4962499920221,72.56502999225631,1352.2974600025918,1.0,1.0,1.0,0.9814898073673248,0.9296762466430664,1.0,126.20635509490967,102.51755599975586,155.50955963134766,60.912067447667496,31.324743833017077,87.11715194109773,404.5,387.0,425.8,-20.29719978594621,-41.115160671353834,-6.185026799466251,87.75,71.7,106.8,8
