frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,28.724721908569336,2026-02-11T12:02:08.643493,26126.64,0.0,6.0,100.0,9.01,0.0,0.0,26264.65,0.0,11.083,11.083,STRAIGHT,1.5,1.5,"CMD,11.1,1.50",1,2,548.8,1003,1185,0,,,,,,0,,,,284303,136256,1039
1,31.00865936279297,2026-02-11T12:02:10.927431,2091.02,0.0,5.41,111.51,23.1,0.0,0.0,2234.04,0.44,-7.046,2.018,STRAIGHT,1.5,1.5,"CMD,2.0,1.50",1,2,467.8,1176,1368,0,,,,,,0,,,,287891,132696,1206
2,44.845099449157715,2026-02-11T12:02:24.763871,13679.57,0.0,4.99,104.0,1.0,0.0,0.0,13790.55,0.12,-3.523,0.171,STRAIGHT,0.3,1.1,"CMD,0.2,1.10",0,2,0.0,734,871,0,,,,,,0,,,,300528,142067,771
3,85.33990907669067,2026-02-11T12:03:05.258681,40341.84,0.0,4.96,78.0,2.0,0.0,0.0,40428.81,0.05,-46.219,-11.426,STRAIGHT,1.5,1.2,"CMD,-11.4,1.20",1,1,241.8,953,1192,0,,,,,,0,,,,246590,130494,969
4,111.24456453323364,2026-02-11T12:03:31.163336,25786.57,0.0,5.0,75.52,1.0,0.0,0.0,25869.08,0.05,-23.109,-13.763,LEFT,0.3,1.02,"CMD,-13.8,1.02",0,1,0.0,881,1130,0,,,,,,0,,,,219814,122696,888
5,120.28845286369324,2026-02-11T12:03:40.207224,8916.86,0.0,5.0,91.03,0.0,0.0,0.0,9014.88,0.05,-23.109,-20.601,LEFT,0.3,0.78,"CMD,-20.6,0.78",0,1,0.0,918,1140,0,,,,,,0,,,,285696,135843,945
6,125.44071745872498,2026-02-11T12:03:45.359489,5012.12,0.0,5.99,103.63,0.57,0.0,0.0,5123.31,0.06,-23.109,-23.814,LEFT,0.3,0.54,"CMD,-23.8,0.54",0,1,0.0,829,1020,0,,,,,,0,,,,300705,139799,843
7,129.16217398643494,2026-02-11T12:03:49.080946,3566.46,0.0,6.0,104.0,8.0,0.0,0.0,3686.46,0.07,19.148,-19.28,LEFT,1.318,0.744,"CMD,-19.3,0.74",1,2,223.1,1002,1206,0,,,,,,0,,,,300635,138721,1014
8,132.5999071598053,2026-02-11T12:03:52.518679,3281.73,0.0,7.0,114.0,1.0,0.0,1.0,3405.73,0.08,-82.694,-26.575,LEFT,1.136,0.671,"CMD,-26.6,0.67",1,1,111.1,1153,1417,0,,,,,,0,,,,290770,131291,1183
9,135.81546831130981,2026-02-11T12:03:55.734240,3062.55,0.0,6.0,109.01,3.99,0.0,0.0,3182.52,0.08,-4.542,-22.861,LEFT,1.228,0.856,"CMD,-22.9,0.86",1,1,559.7,955,1127,0,,,,,,0,,,,300382,135404,955
10,137.03165102005005,2026-02-11T12:03:56.950423,1075.14,0.0,5.0,86.0,8.04,0.0,0.0,1175.18,0.09,-2.271,-18.694,LEFT,0.3,0.856,"CMD,-18.7,0.86",0,1,0.0,1179,1431,0,,,,,,0,,,,253536,118729,1225
11,137.58361196517944,2026-02-11T12:03:57.502383,414.96,0.0,5.0,95.04,1.96,0.0,0.0,518.0,0.1,-87.678,-31.608,LEFT,1.01,0.998,"CMD,-31.6,1.00",1,1,290.3,922,1066,0,,,,,,0,,,,267191,106076,961
