frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.729923963546753,2026-03-05T16:03:04.029687,2091.96,110.98,6.99,20.0,1.04,0.0,0.96,2261.93,0.0,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,1,225.0,9,4,1,20.0,truck,20.00,,,0,,,,1034145,64575,1332
1,2.951929807662964,2026-03-05T16:03:04.251693,100.04,30.97,8.0,19.0,0.0,0.0,1.0,222.01,4.5,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9616,0,NORMAL,0.259,0.013,0,1,225.0,9,4,1,20.0,truck,20.00,,,0,,,,1068855,65075,1431
2,3.150933027267456,2026-03-05T16:03:04.450696,90.0,34.97,7.0,16.0,1.0,0.0,0.0,199.0,4.75,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9675,0,NORMAL,0.215,0.029,0,1,225.0,9,4,1,20.0,truck,20.00,,,0,,,,1050381,66433,1415
3,3.3509414196014404,2026-03-05T16:03:04.650704,86.0,36.0,7.01,17.0,1.0,0.0,0.0,200.01,4.83,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9622,0,NORMAL,0.472,0.047,0,1,225.0,9,4,1,20.0,truck,20.00,,,0,,,,1047160,67235,1433
4,3.5539348125457764,2026-03-05T16:03:04.853698,87.96,35.0,7.0,24.0,0.0,0.0,0.0,202.99,4.85,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.8602,0,NORMAL,0.305,0.064,0,1,118.7,91,8,1,20.0,truck,20.00,,,0,,,,901731,64222,1931
5,3.7674520015716553,2026-03-05T16:03:05.067215,85.03,33.97,8.0,29.0,0.0,0.0,0.0,213.52,4.82,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9753,0,NORMAL,0.783,0.098,0,1,225.0,78,6,1,20.0,truck,20.00,,,0,,,,921883,72086,1718
6,3.9844577312469482,2026-03-05T16:03:05.284221,97.03,32.96,10.0,25.0,0.0,0.0,0.0,217.01,4.78,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9835,0,NORMAL,0.899,0.112,0,1,225.0,78,6,1,20.0,truck,20.00,,,0,,,,931874,72566,1654
7,4.195495367050171,2026-03-05T16:03:05.495258,90.03,33.02,6.99,25.01,0.0,0.0,0.0,209.04,4.78,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9709,0,NORMAL,1.158,0.116,0,1,205.5,83,7,1,20.0,truck,20.00,,,0,,,,948517,72250,1886
8,4.404464960098267,2026-03-05T16:03:05.704228,86.0,32.0,7.0,33.0,0.0,0.0,0.0,208.97,4.78,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9579,0,NORMAL,1.447,0.144,0,1,111.9,179,12,1,20.0,truck,20.00,,,0,,,,915629,73388,2678
9,4.615501165390015,2026-03-05T16:03:05.915264,87.03,33.97,9.0,30.04,0.99,0.0,0.0,211.04,4.77,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9601,0,NORMAL,1.797,0.173,0,1,225.0,98,4,1,20.0,truck,20.00,,,0,,,,879791,64161,1627
