frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,3.8789055347442627,2026-02-11T11:54:03.648095,3495.21,0.0,5.99,69.69,7.0,0.0,0.0,3600.88,0.0,11.083,11.083,STRAIGHT,1.5,1.5,"CMD,11.1,1.50",1,2,548.8,1003,1185,0,,,,,,0,,,,284303,136256,1039
1,4.232872009277344,2026-02-11T11:54:04.002062,119.0,0.0,6.0,113.0,8.01,0.0,0.0,249.0,2.82,-7.046,2.018,STRAIGHT,1.5,1.5,"CMD,2.0,1.50",1,2,467.8,1176,1368,0,,,,,,0,,,,287891,132696,1206
2,4.485137939453125,2026-02-11T11:54:04.254328,107.34,0.0,5.0,106.0,0.0,0.0,0.0,221.34,3.3,0.0,1.346,STRAIGHT,0.0,1.0,"CMD,1.3,1.00",0,0,0.0,734,871,0,,,,,,0,,,,300528,142067,771
3,4.683201313018799,2026-02-11T11:54:04.452391,104.03,0.0,3.99,67.03,1.0,0.0,0.0,178.07,3.73,-46.219,-10.546,STRAIGHT,1.5,1.125,"CMD,-10.5,1.12",1,1,241.8,953,1192,0,,,,,,0,,,,246590,130494,969
4,4.880906581878662,2026-02-11T11:54:04.650096,99.03,0.0,4.97,71.77,0.97,0.0,0.0,177.73,3.99,0.0,-8.436,STRAIGHT,0.0,0.9,"CMD,-8.4,0.90",0,0,0.0,881,1130,0,,,,,,0,,,,219814,122696,888
5,5.107948064804077,2026-02-11T11:54:04.877138,112.0,0.0,3.99,92.01,0.0,0.0,0.0,208.0,4.07,0.0,-10.653,STRAIGHT,0.0,0.6,"CMD,-10.7,0.60",0,0,0.0,918,1140,0,,,,,,0,,,,285696,135843,945
6,5.3479063510894775,2026-02-11T11:54:05.117096,109.0,0.0,5.0,103.0,1.0,0.0,0.0,220.0,4.08,0.0,-9.244,STRAIGHT,0.0,0.3,"CMD,-9.2,0.30",0,0,0.0,829,1020,0,,,,,,0,,,,300705,139799,843
7,5.660923004150391,2026-02-11T11:54:05.430113,136.0,0.0,7.0,126.0,8.0,0.0,0.0,279.0,3.93,19.148,-5.414,STRAIGHT,1.5,0.6,"CMD,-5.4,0.60",1,2,223.1,1002,1206,0,,,,,,0,,,,300635,138721,1014
8,5.961158990859985,2026-02-11T11:54:05.730349,111.0,0.0,6.0,149.24,2.0,0.0,0.0,269.24,3.84,-82.694,-12.709,LEFT,1.482,0.596,"CMD,-12.7,0.60",1,1,111.1,1153,1417,0,,,,,,0,,,,290770,131291,1183
9,6.242162466049194,2026-02-11T11:54:06.011352,114.0,0.0,5.0,128.0,8.0,0.0,0.0,256.0,3.81,-4.542,-13.618,LEFT,1.46,0.888,"CMD,-13.6,0.89",1,1,559.7,955,1127,0,,,,,,0,,,,300382,135404,955
