frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.948925733566284,2026-03-05T14:54:14.195767,2183.01,219.0,8.0,24.0,1.0,0.0,0.0,2450.01,0.0,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0.0,116,18,0,,,,,,0,,,,285973,150193,4265
1,3.156926393508911,2026-03-05T14:54:14.403768,86.0,36.0,8.0,27.0,0.0,0.0,1.0,187.0,4.81,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9494,0,NORMAL,2.595,-0.068,0,0,0.0,115,16,0,,,,,,0,,,,275006,136809,3811
2,3.356928825378418,2026-03-05T14:54:14.603771,85.0,37.0,9.0,31.0,1.0,0.0,0.0,187.0,4.9,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9539,0,NORMAL,6.142,-0.139,0,0,0.0,120,17,0,,,,,,0,,,,282699,142933,4383
3,3.5589282512664795,2026-03-05T14:54:14.805770,83.01,33.99,8.0,33.0,0.0,0.0,0.0,186.0,4.92,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9759,0,NORMAL,8.447,-0.095,0,0,0.0,112,18,0,,,,,,0,,,,283233,144846,4263
4,3.7489287853240967,2026-03-05T14:54:14.995770,83.01,33.01,7.99,27.99,1.0,0.0,0.0,177.0,5.0,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.968,0,NORMAL,9.224,-0.087,0,0,0.0,125,17,0,,,,,,0,,,,276198,139315,3847
5,3.9329307079315186,2026-03-05T14:54:15.179772,85.0,32.0,8.0,23.0,1.0,0.0,0.0,173.0,5.08,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9631,0,NORMAL,11.876,-0.009,0,0,0.0,107,16,0,,,,,,0,,,,279874,139053,3724
6,4.137932538986206,2026-03-05T14:54:15.384774,85.0,35.0,10.0,34.0,0.0,0.0,0.0,192.0,5.05,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9653,0,NORMAL,15.547,0.029,0,0,0.0,129,19,0,,,,,,0,,,,281026,143396,4070
7,4.334933042526245,2026-03-05T14:54:15.581775,85.01,33.99,8.0,27.0,0.0,0.0,1.0,181.7,5.05,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9705,0,NORMAL,19.901,0.066,0,0,0.0,130,17,0,,,,,,0,,,,278841,142386,4274
8,4.52497124671936,2026-03-05T14:54:15.771813,91.01,33.0,8.99,23.04,0.0,0.0,0.0,178.04,5.08,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9549,0,NORMAL,22.382,0.153,0,0,0.0,103,14,0,,,,,,0,,,,269374,135332,3679
9,4.711966276168823,2026-03-05T14:54:15.958808,83.03,34.97,8.03,23.03,0.0,0.0,0.0,174.03,5.11,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9574,0,NORMAL,22.308,0.191,0,0,0.0,90,11,0,,,,,,0,,,,275216,140097,3704
10,4.88793420791626,2026-03-05T14:54:16.134776,81.0,33.0,8.0,21.0,0.0,0.0,0.0,164.0,5.16,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9126,0,NORMAL,24.093,0.198,0,0,0.0,92,10,0,,,,,,0,,,,254195,122143,2820
11,5.084942102432251,2026-03-05T14:54:16.331784,92.01,35.0,7.99,28.01,0.0,0.0,0.0,185.01,5.15,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9187,0,NORMAL,26.949,0.151,0,0,0.0,122,12,0,,,,,,0,,,,268445,126157,3269
12,5.277938604354858,2026-03-05T14:54:16.524780,89.0,33.0,7.0,29.0,0.0,0.0,0.0,180.0,5.15,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9053,0,NORMAL,27.608,-0.033,0,0,0.0,111,13,0,,,,,,0,,,,290871,147827,4129
13,5.470944404602051,2026-03-05T14:54:16.717786,89.0,34.0,10.0,27.01,0.0,0.0,0.0,181.01,5.15,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9772,0,NORMAL,27.28,-0.129,0,0,0.0,108,13,0,,,,,,0,,,,290413,150964,4343
14,5.67093825340271,2026-03-05T14:54:16.917780,88.0,38.0,8.01,23.99,1.0,0.0,0.0,184.0,5.14,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9651,0,NORMAL,27.009,-0.247,0,0,0.0,124,14,0,,,,,,0,,,,292563,151024,4268
15,5.853939533233643,2026-03-05T14:54:17.100781,82.99,32.0,7.0,26.0,0.0,0.0,0.0,170.0,5.16,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9677,0,NORMAL,28.283,-0.337,0,0,0.0,118,16,0,,,,,,0,,,,291729,149347,4169
16,6.049971103668213,2026-03-05T14:54:17.296813,84.99,34.0,10.0,30.04,0.0,0.0,0.0,180.04,5.16,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9523,0,NORMAL,29.803,-0.353,0,0,0.0,133,13,0,,,,,,0,,,,290091,148453,4048
17,6.244943618774414,2026-03-05T14:54:17.491785,84.0,35.0,7.0,29.99,0.0,0.0,0.0,183.0,5.16,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9497,0,NORMAL,30.69,-0.371,0,0,0.0,98,12,0,,,,,,0,,,,277277,140688,4010
