frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,5.094855546951294,2026-02-11T11:07:16.721137,4506.18,0.0,5.88,81.31,8.0,0.0,0.0,4624.37,0.0,11.083,11.083,STRAIGHT,1.5,1.5,"CMD,11.1,1.50",1,2,548.8,1003,1185,0,,,,,,0,,,,284303,136256,1039
1,5.586929082870483,2026-02-11T11:07:17.213211,182.08,0.0,4.98,185.0,11.0,0.0,0.0,386.07,2.03,-7.046,2.018,STRAIGHT,1.5,1.5,"CMD,2.0,1.50",1,2,467.8,1176,1368,0,,,,,,0,,,,287891,132696,1206
2,5.860918283462524,2026-02-11T11:07:17.487200,129.0,0.0,5.0,106.0,0.0,0.0,0.0,241.0,2.61,0.0,1.346,STRAIGHT,0.0,1.0,"CMD,1.3,1.00",0,0,0.0,734,871,0,,,,,,0,,,,300528,142067,771
3,6.114943981170654,2026-02-11T11:07:17.741226,142.34,0.0,5.64,79.03,1.01,0.0,0.0,230.01,2.94,-46.219,-10.546,STRAIGHT,1.5,1.125,"CMD,-10.5,1.12",1,1,241.8,953,1192,0,,,,,,0,,,,246590,130494,969
4,6.387902021408081,2026-02-11T11:07:18.014184,125.97,0.0,5.0,116.0,0.0,0.0,1.0,248.97,3.09,0.0,-8.436,STRAIGHT,0.0,0.9,"CMD,-8.4,0.90",0,0,0.0,881,1130,0,,,,,,0,,,,219814,122696,888
5,6.651902198791504,2026-02-11T11:07:18.278184,117.0,0.0,4.0,118.01,1.0,0.0,0.0,241.0,3.21,0.0,-10.653,STRAIGHT,0.0,0.6,"CMD,-10.7,0.60",0,0,0.0,918,1140,0,,,,,,0,,,,285696,135843,945
6,6.974903345108032,2026-02-11T11:07:18.601185,132.0,0.0,9.0,155.0,0.0,0.0,1.0,298.0,3.19,0.0,-9.244,STRAIGHT,0.0,0.3,"CMD,-9.2,0.30",0,0,0.0,829,1020,0,,,,,,0,,,,300705,139799,843
7,7.354896068572998,2026-02-11T11:07:18.981178,149.99,0.0,8.0,167.01,14.98,0.0,0.0,342.0,3.1,19.148,-5.414,STRAIGHT,1.5,0.6,"CMD,-5.4,0.60",1,2,223.1,1002,1206,0,,,,,,0,,,,300635,138721,1014
8,7.7273054122924805,2026-02-11T11:07:19.353587,149.0,0.0,7.41,171.0,2.0,0.0,0.0,332.41,3.04,-82.694,-12.709,LEFT,1.482,0.596,"CMD,-12.7,0.60",1,1,111.1,1153,1417,0,,,,,,0,,,,290770,131291,1183
9,8.035303592681885,2026-02-11T11:07:19.661585,114.0,0.0,7.0,141.0,7.0,0.0,0.0,270.0,3.06,-4.542,-13.618,LEFT,1.46,0.888,"CMD,-13.6,0.89",1,1,559.7,955,1127,0,,,,,,0,,,,300382,135404,955
