frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.705028772354126,2026-03-05T15:30:57.962329,2098.02,110.0,6.0,25.01,0.0,0.0,1.0,2257.03,0.0,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0.0,116,18,0,,,,,,0,,,,285973,150193,4265
1,2.8800206184387207,2026-03-05T15:30:58.137321,74.0,35.0,9.0,31.0,0.0,0.0,0.0,174.99,5.71,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9494,0,NORMAL,2.595,-0.068,0,0,0.0,115,16,0,,,,,,0,,,,275006,136809,3811
2,3.052020788192749,2026-03-05T15:30:58.309321,74.97,34.0,10.0,25.0,1.0,0.0,0.0,172.0,5.76,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9539,0,NORMAL,6.142,-0.139,0,0,0.0,120,17,0,,,,,,0,,,,282699,142933,4383
3,3.2090227603912354,2026-03-05T15:30:58.466323,71.01,33.05,7.95,23.0,0.0,0.0,0.0,156.0,5.96,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9759,0,NORMAL,8.447,-0.095,0,0,0.0,112,18,0,,,,,,0,,,,283233,144846,4263
4,3.370058059692383,2026-03-05T15:30:58.627359,73.05,32.0,6.99,24.01,1.0,0.0,0.0,161.04,6.01,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.968,0,NORMAL,9.224,-0.087,0,0,0.0,125,17,0,,,,,,0,,,,276198,139315,3847
5,3.529059648513794,2026-03-05T15:30:58.786360,71.04,34.02,6.97,24.01,1.0,0.0,0.0,159.0,6.07,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9631,0,NORMAL,11.876,-0.009,0,0,0.0,107,16,0,,,,,,0,,,,279874,139053,3724
6,3.6920809745788574,2026-03-05T15:30:58.949381,74.04,35.0,7.0,25.96,0.0,0.0,0.0,161.97,6.09,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9653,0,NORMAL,15.547,0.029,0,0,0.0,129,19,0,,,,,,0,,,,281026,143396,4070
7,3.8600568771362305,2026-03-05T15:30:59.117357,72.0,35.06,8.98,27.99,1.0,0.0,0.0,167.98,6.06,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9705,0,NORMAL,19.901,0.066,0,0,0.0,130,17,0,,,,,,0,,,,278841,142386,4274
8,4.028030157089233,2026-03-05T15:30:59.285331,74.01,35.0,10.04,25.97,0.0,0.0,0.0,166.97,6.05,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9549,0,NORMAL,22.382,0.153,0,0,0.0,103,14,0,,,,,,0,,,,269374,135332,3679
9,4.194072484970093,2026-03-05T15:30:59.451373,74.01,31.01,6.98,30.01,0.0,0.0,0.0,166.04,6.04,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9574,0,NORMAL,22.308,0.191,0,0,0.0,90,11,0,,,,,,0,,,,275216,140097,3704
