frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.834721803665161,2026-03-05T15:24:17.768946,2197.15,115.99,7.0,26.99,1.01,0.0,0.0,2363.16,0.0,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,1.0,0,NORMAL,0.0,0.0,0,0,0.0,116,18,0,,,,,,0,,,,285973,150193,4265
1,2.9777119159698486,2026-03-05T15:24:17.911936,77.99,0.0,9.0,26.0,0.0,0.0,0.0,142.99,6.99,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9494,0,NORMAL,2.595,-0.068,0,0,0.0,115,16,0,,,,,,0,,,,275006,136809,3811
2,3.1567180156707764,2026-03-05T15:24:18.090943,72.0,37.97,9.99,34.01,0.0,0.0,0.0,178.01,6.21,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9539,0,NORMAL,6.142,-0.139,0,0,0.0,120,17,0,,,,,,0,,,,282699,142933,4383
3,3.2967121601104736,2026-03-05T15:24:18.230937,76.0,0.0,8.0,32.0,1.0,0.0,0.0,139.99,6.49,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9759,0,NORMAL,8.447,-0.095,0,0,0.0,112,18,0,,,,,,0,,,,283233,144846,4263
4,3.4574108123779297,2026-03-05T15:24:18.391635,71.0,34.0,8.96,24.7,1.0,0.0,0.0,160.7,6.42,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.968,0,NORMAL,9.224,-0.087,0,0,0.0,125,17,0,,,,,,0,,,,276198,139315,3847
5,3.5894434452056885,2026-03-05T15:24:18.523668,72.0,0.0,9.0,26.03,1.0,0.0,0.0,132.03,6.62,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9631,0,NORMAL,11.876,-0.009,0,0,0.0,107,16,0,,,,,,0,,,,279874,139053,3724
6,3.77632999420166,2026-03-05T15:24:18.710554,77.93,37.99,10.0,34.96,1.0,0.0,0.0,186.89,6.37,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9653,0,NORMAL,15.547,0.029,0,0,0.0,129,19,0,,,,,,0,,,,281026,143396,4070
7,3.9123311042785645,2026-03-05T15:24:18.846555,73.97,0.0,10.04,27.95,1.0,0.0,0.0,136.0,6.5,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9705,0,NORMAL,19.901,0.066,0,0,0.0,130,17,0,,,,,,0,,,,278841,142386,4274
8,4.072332382202148,2026-03-05T15:24:19.006557,72.0,34.97,9.0,22.0,0.0,0.0,0.0,160.0,6.46,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9549,0,NORMAL,22.382,0.153,0,0,0.0,103,14,0,,,,,,0,,,,269374,135332,3679
9,4.213333368301392,2026-03-05T15:24:19.147558,74.0,0.0,10.0,31.0,0.0,0.0,0.0,139.0,6.53,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9574,0,NORMAL,22.308,0.191,0,0,0.0,90,11,0,,,,,,0,,,,275216,140097,3704
10,4.379334449768066,2026-03-05T15:24:19.313559,71.03,34.03,7.94,29.0,0.0,0.0,0.0,166.0,6.47,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9126,0,NORMAL,24.093,0.198,0,0,0.0,92,10,0,,,,,,0,,,,254195,122143,2820
11,4.520334243774414,2026-03-05T15:24:19.454559,74.05,0.0,8.96,30.0,1.0,0.0,0.0,141.0,6.53,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9187,0,NORMAL,26.949,0.151,0,0,0.0,122,12,0,,,,,,0,,,,268445,126157,3269
12,4.68833589553833,2026-03-05T15:24:19.622560,72.04,35.01,8.95,27.0,1.0,0.0,0.0,168.0,6.47,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9053,0,NORMAL,27.608,-0.033,0,0,0.0,111,13,0,,,,,,0,,,,290871,147827,4129
13,4.825338125228882,2026-03-05T15:24:19.759563,76.0,0.0,10.0,28.0,0.0,0.0,0.0,137.0,6.53,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9772,0,NORMAL,27.28,-0.129,0,0,0.0,108,13,0,,,,,,0,,,,290413,150964,4343
14,5.001339912414551,2026-03-05T15:24:19.935564,73.04,33.97,9.0,34.0,0.0,0.0,1.0,176.0,6.46,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9651,0,NORMAL,27.009,-0.247,0,0,0.0,124,14,0,,,,,,0,,,,292563,151024,4268
15,5.1333396434783936,2026-03-05T15:24:20.067564,74.0,0.0,7.0,26.0,0.0,0.0,0.0,131.0,6.53,0.0,0.0,STRAIGHT,0.3,0.3,"CMD,0.0,0.30",1.2,0.0,1.2,0.0,0,0.9677,0,NORMAL,28.283,-0.337,0,0,0.0,118,16,0,,,,,,0,,,,291729,149347,4169
