frame_id,timestamp,wall_clock,t_segmentation,t_detection,t_bev,t_skeleton,t_pathfinding,t_gps_fusion,t_command,t_total_pipeline,fps,heading_raw_deg,heading_smoothed_deg,command,speed_raw_mps,speed_smoothed_mps,serial_cmd,pp_lookahead_m,pp_kappa_cmd_m_inv,pp_target_x_m,pp_target_y_m,pp_valid_path,seg_iou,seg_unstable_frames,stability_mode,stab_corr_px,stab_corr_deg,has_path,num_paths,best_path_length_px,num_graph_nodes,num_graph_edges,num_detections,min_obstacle_dist_m,detection_classes,detection_distances,gps_lat,gps_lon,gps_fix_quality,gps_wp_name,gps_wp_dist_m,gps_correction_deg,sidewalk_mask_pixels,bev_mask_pixels,skeleton_pixels
0,2.4548487663269043,2026-03-04T16:23:50.561575,1906.56,93.77,15.58,15.62,0.0,0.0,0.0,2047.16,0.0,0.0,0.0,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0,1.69,0.0,1,1.0,0,NORMAL,0.0,0.0,1,1,81.0,82,15,0,,,,,,0,,,,285851,146779,6272
1,2.5798838138580322,2026-03-04T16:23:50.686610,15.65,0.0,15.59,15.66,0.0,0.0,0.0,78.15,8.0,0.0,0.0,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0,1.69,0.0,1,0.9866,0,NORMAL,2.595,-0.068,1,1,81.0,82,15,0,,,,,,0,,,,285851,146779,6272
2,2.673633337020874,2026-03-04T16:23:50.780359,46.88,0.0,0.0,15.62,0.0,0.0,0.0,78.16,9.14,0.0,0.0,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0,1.62,0.0,1,0.946,0,NORMAL,6.142,-0.139,1,1,77.5,84,15,0,,,,,,0,,,,284039,146609,6236
3,2.737610101699829,2026-03-04T16:23:50.844336,17.06,0.0,0.0,15.67,0.0,0.0,0.0,48.36,10.61,0.0,0.0,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0,1.62,0.0,1,0.9483,0,NORMAL,8.447,-0.095,1,1,77.5,96,15,0,,,,,,0,,,,285917,144656,6546
4,2.831355571746826,2026-03-04T16:23:50.938082,31.23,0.0,15.62,15.63,0.0,0.0,0.0,78.12,10.62,0.0,0.0,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0,1.62,0.0,1,0.9524,0,NORMAL,9.224,-0.087,1,1,77.5,91,15,0,,,,,,0,,,,284249,144910,6551
5,2.878239870071411,2026-03-04T16:23:50.984966,0.0,0.0,15.63,0.0,0.0,0.0,0.0,46.88,11.81,0.0,0.0,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0,1.62,0.0,1,0.9546,0,NORMAL,11.876,-0.009,1,1,77.5,84,15,0,,,,,,0,,,,287403,144459,6615
6,3.0032050609588623,2026-03-04T16:23:51.109931,46.91,31.23,0.0,15.61,0.0,0.0,0.0,109.35,10.94,0.0,0.0,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0,1.62,0.0,1,0.9539,0,NORMAL,15.547,0.029,1,1,77.5,89,15,0,,,,,,0,,,,286286,145314,6724
7,3.0813684463500977,2026-03-04T16:23:51.188095,15.59,0.0,0.0,15.67,0.0,0.0,0.0,62.51,11.17,0.0,0.0,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0,1.62,0.0,1,0.9612,0,NORMAL,19.901,0.066,1,1,77.5,80,15,0,,,,,,0,,,,284754,144825,6362
8,3.175114870071411,2026-03-04T16:23:51.281841,46.9,0.0,0.0,15.63,0.0,0.0,0.0,78.14,11.11,0.0,0.0,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0,1.62,0.0,1,0.9472,0,NORMAL,22.382,0.153,1,1,77.5,76,15,0,,,,,,0,,,,284494,143744,6056
9,3.237610340118408,2026-03-04T16:23:51.344336,15.63,0.0,0.0,15.62,0.0,0.0,0.0,46.88,11.5,0.0,0.0,STRAIGHT,1.5,1.5,"CMD,0.0,1.50",4.0,0.0,1.62,0.0,1,0.9562,0,NORMAL,22.308,0.191,1,1,77.5,73,14,0,,,,,,0,,,,287252,140965,6219
